,name,nationality,clubName,ErrChance,ErrGoal,PossLostP90,OffsideP90
352,Victor Lindelof,Sweden,Manchester United FC,0,0,8.99,0.00
353,João Cancelo,Portugal,Manchester City FC,0,0,13.75,0.00
354,Rúben Neves,Portugal,Wolverhampton Wanderers FC,1,0,13.56,0.00
355,Daniel Podence,Portugal,Wolverhampton Wanderers FC,0,0,15.73,0.95
356,Bernardo Silva,Portugal,Manchester City FC,0,0,11.23,0.09
357,Cédric,Portugal,Arsenal FC,0,0,16.16,0.00
358,Ricardo Pereira,Portugal,Leicester City FC,0,0,19.14,0.00
359,Adam Masina,Italy,Watford FC,0,0,20.84,0.10
360,Lucas Torreira,Uruguay,Arsenal FC,0,0,9.07,0.06
361,Florian Lejeune,France,Newcastle United FC,0,2,14.70,0.00
362,Diego Rico,Spain,AFC Bournemouth,0,0,22.32,0.08
363,Dani Ceballos,Spain,Arsenal FC,1,0,14.46,0.00
364,Marvelous Nakamba,Zimbabwe,Aston Villa FC,2,1,8.39,0.00
365,Diogo Jota,Portugal,Wolverhampton Wanderers FC,0,0,16.41,0.12
366,Eric Bailly,Côte d’Ivoire,Manchester United FC,0,0,6.08,0.00
367,Ilkay Gündogan,Germany,Manchester City FC,0,0,9.41,0.09
368,Enda Stevens,Republic of Ireland,Sheffield United FC,1,2,17.27,0.05
369,Dominic Solanke,England,AFC Bournemouth,1,0,15.39,0.22
370,Che Adams,England,Southampton FC,0,0,13.27,0.81
371,Nicolas Pépé,Côte d’Ivoire,Arsenal FC,0,0,17.55,0.18
372,Mason Holgate,England,Everton FC,0,0,8.15,0.05
373,Angeliño,Spain,Manchester City FC,0,0,23.25,0.00
374,Florin Andone,Romania,Brighton & Hove Albion FC,0,0,,
375,Ainsley Maitland-Niles,England,Arsenal FC,1,0,15.71,0.00
376,Giovani Lo Celso,Argentina,Tottenham Hotspur FC,0,0,17.68,0.00
377,Emiliano Buendía,Argentina,Norwich City FC,0,2,22.65,0.07
378,Ruben Loftus-Cheek,England,Chelsea FC,0,0,8.34,0.00
379,Trezeguet,Egypt,Aston Villa FC,0,0,13.20,0.23
